material_id,formula,composition,structure,band_gap,functional,passes_topology,b_site_elements,anion_elements,n_candidate_b_sites,n_edge_or_face_sharing_pairs,disambiguated_by_bond_length,error,a_site_elements,a_site_mean_cn,a_site_cn_plausible,a_site_element,b_site_element,x_site_element,a_oxi_state,b_oxi_state,x_oxi_state,oxi_error,b_site_cn,x_site_cn,a_site_cn,a_site_radius,a_site_radius_method,b_site_radius,b_site_radius_method,x_site_radius,x_site_radius_method
mp-865927,AcTiO3,Ac1 Ti1 O3,"Full Formula (Ac1 Ti1 O3)
Reduced Formula: AcTiO3
abc   :   3.995820   3.995820   3.995820
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Ac    -0         -0         -0
  1  Ti     0.499999   0.499999   0.499999
  2  O      0.499999   0.499999  -0
  3  O      0.499999   0          0.499999
  4  O     -0          0.499999   0.499999",0.0,GGA Static,True,['Ti'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Ti,O,3.0,3.0,-2.0,,6.0,2.0,12.0,1.12,shannon_fallback_cn,0.67,shannon_exact_cn,1.35,shannon_exact_cn
mp-1183168,AcVO3,Ac1 V1 O3,"Full Formula (Ac1 V1 O3)
Reduced Formula: AcVO3
abc   :   3.967894   3.967897   3.967894
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ac    -0    -0    -0
  1  V      0.5   0.5   0.5
  2  O      0.5   0.5  -0
  3  O      0.5   0     0.5
  4  O     -0     0.5   0.5",0.0,GGA+U Static,True,['V'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,V,O,3.0,3.0,-2.0,,6.0,2.0,12.0,1.12,shannon_fallback_cn,0.64,shannon_exact_cn,1.35,shannon_exact_cn
mp-558950,AgAsO3,Ag1 As1 O3,"Full Formula (Ag24 As24 O72)
Reduced Formula: AgAsO3
abc   :   6.755519  12.790828  20.006086
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (120)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.546128  0.632933  0.611936        -0
  1  Ag    0.00493   0.54929   0.053221         0
  2  Ag    0.103357  0.629182  0.865948         0
  3  Ag    0.501434  0.875163  0.939324        -0
  4  Ag    0.597266  0.210464  0.698215         0
  5  Ag    0.501434  0.375163  0.560676        -0
  6  Ag    0.546128  0.132933  0.888064         0
  7  Ag    0.402734  0.710464  0.301785         0
  8  Ag    0.935978  0.392527  0.189879        -0
  9  Ag    0.99507   0.04929   0.946779         0
 10  Ag    0.896643  0.629182  0.365948         0
 11  Ag    0.453872  0.632933  0.111936        -0
 12  Ag    0.597266  0.710464  0.801785         0
 13  Ag    0.402734  0.210464  0.198215         0
 14  Ag    0.896643  0.129182  0.134052         0
 15  Ag    0.935978  0.892527  0.310121        -0
 16  Ag    0.00493   0.04929   0.446779         0
 17  Ag    0.064022  0.892527  0.810121        -0
 18  Ag    0.064022  0.392527  0.689879        -0
 19  Ag    0.498566  0.875163  0.439324        -0
 20  Ag    0.103357  0.129182  0.634052         0
 21  Ag    0.498566  0.375163  0.060676        -0
 22  Ag    0.99507   0.54929   0.553221         0
 23  Ag    0.453872  0.132933  0.388064        -0
 24  As    0.207192  0.382404  0.375345        -0
 25  As    0.207192  0.882404  0.124655        -0
 26  As    0.456636  0.459454  0.245026        -0
 27  As    0.707241  0.880907  0.123961        -0
 28  As    0.034297  0.80172   0.494198         0
 29  As    0.456636  0.959454  0.254974        -0
 30  As    0.792808  0.882404  0.624655        -0
 31  As    0.965703  0.30172   0.505802         0
 32  As    0.792808  0.382404  0.875345        -0
 33  As    0.292759  0.880907  0.623961        -0
 34  As    0.965703  0.80172   0.994198         0
 35  As    0.048536  0.694592  0.695873        -0
 36  As    0.540511  0.568952  0.946208        -0
 37  As    0.048536  0.194592  0.804127        -0
 38  As    0.292759  0.380907  0.876039        -0
 39  As    0.707241  0.380907  0.376039        -0
 40  As    0.459489  0.568952  0.446208        -0
 41  As    0.034297  0.30172   0.005802         0
 42  As    0.459489  0.068952  0.053792        -0
 43  As    0.951464  0.694592  0.195873        -0
 44  As    0.540511  0.068952  0.553792        -0
 45  As    0.951464  0.194592  0.304127        -0
 46  As    0.543364  0.959454  0.754974         0
 47  As    0.543364  0.459454  0.745026        -0
 48  O     0.130953  0.241566  0.36195          0
 49  O     0.544324  0.829422  0.609174        -0
 50  O     0.020828  0.718015  0.276885         0
 51  O     0.833206  0.367726  0.968453         0
 52  O     0.042261  0.433363  0.860154        -0
 53  O     0.250457  0.896188  0.218046         0
 54  O     0.869047  0.741566  0.63805          0
 55  O     0.542735  0.879879  0.316972         0
 56  O     0.105383  0.376218  0.072609         0
 57  O     0.776144  0.790432  0.05432          0
 58  O     0.09822   0.571442  0.670361        -0
 59  O     0.364346  0.475925  0.808342         0
 60  O     0.957739  0.433363  0.360154        -0
 61  O     0.833206  0.867726  0.531547         0
 62  O     0.718918  0.521911  0.888797         0
 63  O     0.508389  0.691308  0.41845          0
 64  O     0.042261  0.933363  0.639846        -0
 65  O     0.975807  0.176541  0.025329        -0
 66  O     0.166794  0.867726  0.031547        -0
 67  O     0.677128  0.491331  0.437833        -0
 68  O     0.894617  0.876218  0.927391         0
 69  O     0.677128  0.991331  0.062167        -0
 70  O     0.024193  0.676541  0.974671        -0
 71  O     0.90178   0.071442  0.329639        -0
 72  O     0.322872  0.991331  0.562167        -0
 73  O     0.223856  0.790432  0.55432          0
 74  O     0.606841  0.082066  0.779187        -0
 75  O     0.606841  0.582066  0.720813         0
 76  O     0.508389  0.191308  0.08155          0
 77  O     0.90178   0.571442  0.170361        -0
 78  O     0.455676  0.329422  0.390826         0
 79  O     0.735043  0.771659  0.185443        -0
 80  O     0.455676  0.829422  0.109174        -0
 81  O     0.491611  0.191308  0.58155          0
 82  O     0.264957  0.771659  0.685443        -0
 83  O     0.979172  0.218015  0.723115         0
 84  O     0.390092  0.54882   0.527419         0
 85  O     0.718918  0.021911  0.611203         0
 86  O     0.390092  0.04882   0.972581         0
 87  O     0.609908  0.54882   0.027419         0
 88  O     0.130953  0.741566  0.13805          0
 89  O     0.393159  0.582066  0.220813         0
 90  O     0.749543  0.896188  0.718046         0
 91  O     0.957739  0.933363  0.139846        -0
 92  O     0.09822   0.071442  0.829639        -0
 93  O     0.024193  0.176541  0.525329         0
 94  O     0.364346  0.975925  0.691658         0
 95  O     0.542735  0.379879  0.183028         0
 96  O     0.975807  0.676541  0.474671        -0
 97  O     0.544324  0.329422  0.890826         0
 98  O     0.281082  0.021911  0.111203         0
 99  O     0.635654  0.475925  0.308342        -0
100  O     0.457265  0.879879  0.816972         0
101  O     0.609908  0.04882   0.472581         0
102  O     0.979172  0.718015  0.776885         0
103  O     0.020828  0.218015  0.223115         0
104  O     0.250457  0.396188  0.281954         0
105  O     0.457265  0.379879  0.683028         0
106  O     0.281082  0.521911  0.388797         0
107  O     0.749543  0.396188  0.781954         0
108  O     0.635654  0.975925  0.191658         0
109  O     0.491611  0.691308  0.91845          0
110  O     0.869047  0.241566  0.86195          0
111  O     0.166794  0.367726  0.468453        -0
112  O     0.223856  0.290432  0.94568          0
113  O     0.776144  0.290432  0.44568          0
114  O     0.322872  0.491331  0.937833        -0
115  O     0.393159  0.082066  0.279187         0
116  O     0.264957  0.271659  0.814557        -0
117  O     0.894617  0.376218  0.572609         0
118  O     0.735043  0.271659  0.314557        -0
119  O     0.105383  0.876218  0.427391         0",0.49849999999999994,GGA Static,True,['As'],['O'],12,0,True,,['Ag'],{'Ag': 4.166666666666667},False,Ag,As,O,1.0,5.0,-2.0,,4.666666666666667,2.8333333333333335,4.166666666666667,1.0,shannon_exact_cn,0.46,shannon_fallback_cn,1.36,shannon_exact_cn
mp-1178563,AgAsO3,Ag1 As1 O3,"Full Formula (Ag2 As2 O6)
Reduced Formula: AgAsO3
abc   :   6.389075   6.389075   6.389076
angles:  45.134527  45.134527  45.134514
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ag    0.144867  0.144867  0.144867
  1  Ag    0.855133  0.855133  0.855133
  2  As    0.335397  0.335397  0.335397
  3  As    0.664603  0.664603  0.664603
  4  O     0.678387  0.057052  0.445832
  5  O     0.942948  0.554168  0.321613
  6  O     0.554168  0.321613  0.942948
  7  O     0.445832  0.678387  0.057052
  8  O     0.057052  0.445832  0.678387
  9  O     0.321613  0.942948  0.554168",0.2921,GGA Static,True,['As'],['O'],4,0,True,,['Ag'],{'Ag': 6.0},True,Ag,As,O,1.0,5.0,-2.0,,6.0,4.0,6.0,1.15,shannon_exact_cn,0.46,shannon_exact_cn,1.38,shannon_exact_cn
mp-752678,AgAuO3,Ag1 Au1 O3,"Full Formula (Ag4 Au4 O12)
Reduced Formula: AgAuO3
abc   :   6.423520   6.423520   7.539733
angles:  90.000000  90.000000 108.919031
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.638093  0.361907  0.25            -0
  1  Ag    0.999503  0.000497  0.75            -0
  2  Ag    0.361907  0.638093  0.75            -0
  3  Ag    0.000497  0.999503  0.25            -0
  4  Au    0.5       0         0                0
  5  Au    0.5       0         0.5              0
  6  Au    0         0.5       0                0
  7  Au    0         0.5       0.5              0
  8  O     0.476943  0.186009  0.75             0
  9  O     0.186009  0.476943  0.25             0
 10  O     0.267979  0.307028  0.25            -0
 11  O     0.307028  0.267979  0.75            -0
 12  O     0.838988  0.161012  0.018784         0
 13  O     0.838988  0.161012  0.481216         0
 14  O     0.161012  0.838988  0.518784         0
 15  O     0.161012  0.838988  0.981216         0
 16  O     0.732021  0.692972  0.75            -0
 17  O     0.692972  0.732021  0.25            -0
 18  O     0.523057  0.813991  0.25             0
 19  O     0.813991  0.523057  0.75             0",0.0,GGA Static,True,['Ag'],['O'],2,0,False,,['Au'],{'Au': 4.0},False,Au,Ag,O,3.0,3.0,-2.0,,4.0,3.6666666666666665,4.0,0.85,shannon_fallback_cn,0.75,shannon_fallback_cn,1.38,shannon_exact_cn
mp-776165,AgAuO3,Ag1 Au1 O3,"Full Formula (Ag4 Au4 O12)
Reduced Formula: AgAuO3
abc   :   7.285926   7.285926   7.285926
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.125     0.125     0.125           -0
  1  Ag    0.625     0.125     0.125           -0
  2  Ag    0.125     0.625     0.125           -0
  3  Ag    0.125     0.125     0.625           -0
  4  Au    0.625     0.625     0.125            0
  5  Au    0.625     0.625     0.625            0
  6  Au    0.625     0.125     0.625            0
  7  Au    0.125     0.625     0.625            0
  8  O     0.966287  0.533713  0.533713         0
  9  O     0.716287  0.716287  0.283713         0
 10  O     0.716287  0.283713  0.283713         0
 11  O     0.966287  0.533713  0.966287         0
 12  O     0.533713  0.966287  0.533713         0
 13  O     0.966287  0.966287  0.533713         0
 14  O     0.716287  0.283713  0.716287         0
 15  O     0.283713  0.716287  0.283713         0
 16  O     0.283713  0.283713  0.716287         0
 17  O     0.533713  0.966287  0.966287         0
 18  O     0.533713  0.533713  0.966287         0
 19  O     0.283713  0.716287  0.716287         0",0.24230000000000018,GGA Static,True,['Au'],['O'],8,0,True,,['Ag'],{'Ag': 6.0},True,Ag,Au,O,3.0,3.0,-2.0,,6.0,4.0,6.0,0.75,shannon_exact_cn,0.85,shannon_exact_cn,1.38,shannon_exact_cn
mp-780275,AgBO3,Ag1 B1 O3,"Full Formula (Ag2 B2 O6)
Reduced Formula: AgBO3
abc   :   6.001194   6.001194   6.001195
angles:  48.159219  48.159219  48.159224
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0         0         0                0
  1  Ag    0.5       0.5       0.5              0
  2  B     0.25      0.25      0.25             0
  3  B     0.75      0.75      0.75             0
  4  O     0.967582  0.25      0.532418        -0
  5  O     0.467582  0.032418  0.75            -0
  6  O     0.75      0.467582  0.032418        -0
  7  O     0.25      0.532418  0.967582        -0
  8  O     0.532418  0.967582  0.25            -0
  9  O     0.032418  0.75      0.467582        -0",0.0,GGA Static,True,['Ag'],['O'],2,0,False,,['B'],{'B': 3.0},False,B,Ag,O,3.0,3.0,-2.0,,6.0,3.0,3.0,0.01,shannon_exact_cn,0.75,shannon_exact_cn,1.36,shannon_exact_cn
mp-985292,AgBO3,Ag1 B1 O3,"Full Formula (Ag1 B1 O3)
Reduced Formula: AgBO3
abc   :   3.483287   3.483287   3.483287
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0    0    0       0.453
  1  B     0.5  0.5  0.5    -0.033
  2  O     0.5  0.5  0       0.474
  3  O     0.5  0    0.5     0.474
  4  O     0    0.5  0.5     0.474",0.0,GGA Static,True,['B'],['O'],1,0,False,,['Ag'],{'Ag': 12.0},True,Ag,B,O,3.0,3.0,-2.0,,6.0,2.0,12.0,0.75,shannon_fallback_cn,0.27,shannon_exact_cn,1.35,shannon_exact_cn
mp-23548,AgBiO3,Ag1 Bi1 O3,"Full Formula (Ag2 Bi2 O6)
Reduced Formula: AgBiO3
abc   :   6.303216   6.303216   6.303216
angles:  54.560535  54.560535  54.560532
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.13161   0.13161   0.13161         -0
  1  Ag    0.86839   0.86839   0.86839         -0
  2  Bi    0.341992  0.341992  0.341992        -0
  3  Bi    0.658008  0.658008  0.658008        -0
  4  O     0.458114  0.708265  0.060033         0
  5  O     0.541886  0.291735  0.939967         0
  6  O     0.291735  0.939967  0.541886         0
  7  O     0.939967  0.541886  0.291735         0
  8  O     0.060033  0.458114  0.708265         0
  9  O     0.708265  0.060033  0.458114         0",0.0,GGA Static,True,['Bi'],['O'],4,0,True,,['Ag'],{'Ag': 6.0},True,Ag,Bi,O,1.0,5.0,-2.0,,6.0,4.0,6.0,1.15,shannon_exact_cn,0.76,shannon_exact_cn,1.38,shannon_exact_cn
mp-775774,AgBiO3,Ag1 Bi1 O3,"Full Formula (Ag2 Bi2 O6)
Reduced Formula: AgBiO3
abc   :   6.688042   6.688042   3.490881
angles:  90.000000  90.000000 107.072638
pbc   :       True       True       True
Sites (10)
  #  SP            a          b     c    magmom
---  ----  ---------  ---------  ----  --------
  0  Ag    -0         -0         -0      -0.008
  1  Ag     0.5        0.5       -0      -0.276
  2  Bi    -0          0.5        0.5     0.003
  3  Bi     0.5       -0          0.5     0.003
  4  O      0.044725   0.309933  -0      -0.002
  5  O      0.309933   0.044725   0      -0.002
  6  O      0.357737   0.642263   0.5    -0.187
  7  O      0.642263   0.357737   0.5    -0.187
  8  O      0.955275   0.690067   0      -0.002
  9  O      0.690067   0.955275  -0      -0.002",0.0,GGA Static,True,['Bi'],['O'],2,0,False,,['Ag'],{'Ag': 4.0},False,Ag,Bi,O,1.0,5.0,-2.0,,6.0,3.3333333333333335,4.0,1.0,shannon_exact_cn,0.76,shannon_exact_cn,1.36,shannon_exact_cn
mp-753176,AgCO3,Ag1 C1 O3,"Full Formula (Ag2 C2 O6)
Reduced Formula: AgCO3
abc   :   6.031251   6.031252   6.031253
angles:  48.627516  48.627513  48.627502
pbc   :       True       True       True
Sites (10)
  #  SP           a         b          c
---  ----  --------  --------  ---------
  0  Ag    0         0         -0
  1  Ag    0.5       0.5        0.5
  2  C     0.25      0.250001   0.250001
  3  C     0.75      0.749999   0.749999
  4  O     0.25      0.990827   0.509175
  5  O     0.009173  0.490825   0.75
  6  O     0.490825  0.75       0.009173
  7  O     0.509175  0.25       0.990827
  8  O     0.990827  0.509175   0.25
  9  O     0.75      0.009173   0.490825",0.0,GGA Static,True,['Ag'],['O'],2,0,False,,['C'],{'C': 3.0},False,C,Ag,O,4.0,2.0,-2.0,,6.0,3.0,3.0,0.08,shannon_exact_cn,0.94,shannon_exact_cn,1.36,shannon_exact_cn
mp-775761,AgClO3,Ag1 Cl1 O3,"Full Formula (Ag4 Cl4 O12)
Reduced Formula: AgClO3
abc   :   6.627159   6.627159   6.627159
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ag    0.075067  0.075067  0.075067
  1  Ag    0.424933  0.924934  0.575066
  2  Ag    0.575066  0.424933  0.924934
  3  Ag    0.924934  0.575066  0.424933
  4  Cl    0.085067  0.585067  0.914933
  5  Cl    0.414933  0.414933  0.414933
  6  Cl    0.585067  0.914933  0.085067
  7  Cl    0.914933  0.085067  0.585067
  8  O     0.008619  0.200962  0.414669
  9  O     0.085331  0.991381  0.700962
 10  O     0.200962  0.414669  0.008619
 11  O     0.299038  0.585331  0.508619
 12  O     0.414669  0.008619  0.200962
 13  O     0.491381  0.799038  0.914669
 14  O     0.508619  0.299038  0.585331
 15  O     0.585331  0.508619  0.299038
 16  O     0.700962  0.085331  0.991381
 17  O     0.799038  0.914669  0.491381
 18  O     0.914669  0.491381  0.799038
 19  O     0.991381  0.700962  0.085331",2.925,GGA Static,True,['Ag'],"['Cl', 'O']",4,0,False,,,,,,Ag,,,,,non_single_element_site_assignment,6.0,,,1.12,dataset_median_site_role,1.15,typical_oxi_shannon_exact_cn,1.38,dataset_median_site_role
mp-759939,AgGeO3,Ag1 Ge1 O3,"Full Formula (Ag2 Ge2 O6)
Reduced Formula: AgGeO3
abc   :   2.993014   5.324973   7.139362
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (10)
  #  SP      a         b         c    magmom
---  ----  ---  --------  --------  --------
  0  Ag    0.5  0.021708  0.75         0.001
  1  Ag    0.5  0.978292  0.25        -0.001
  2  Ge    0    0.5       0            0
  3  Ge    0    0.5       0.5         -0
  4  O     0.5  0.260194  0.030233    -0.001
  5  O     0.5  0.260194  0.469767     0.001
  6  O     0    0.403753  0.75        -0.001
  7  O     0    0.596247  0.25         0.001
  8  O     0.5  0.739806  0.969767    -0
  9  O     0.5  0.739806  0.530233     0.001",0.0,GGA Static,True,['Ge'],['O'],4,0,True,,['Ag'],{'Ag': 6.0},True,Ag,Ge,O,2.0,4.0,-2.0,,6.0,4.0,6.0,0.94,shannon_exact_cn,0.53,shannon_exact_cn,1.38,shannon_exact_cn
