material_id,formula,composition,structure,band_gap,functional
mp-1229116,Ag3SBr,Ag3 S1 Br1,"Full Formula (Ag3 S1 Br1)
Reduced Formula: Ag3SBr
abc   :   4.921709   4.980664   4.825298
angles:  90.000000  90.000000  93.276960
pbc   :       True       True       True
Sites (5)
  #  SP           a         b    c    magmom
---  ----  --------  --------  ---  --------
  0  Ag    0.509745  0.633248  0          -0
  1  Ag    0.39501   0.982903  0.5        -0
  2  Ag    0.985456  0.392605  0.5        -0
  3  S     0.495991  0.489975  0.5         0
  4  Br    0.998798  0.001269  0          -0",0.39870000000000005,GGA Static
mp-22995,Ag3SI,Ag3 S1 I1,"Full Formula (Ag3 S1 I1)
Reduced Formula: Ag3SI
abc   :   4.957724   4.957724   4.957723
angles:  89.909359  89.909359  89.909357
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.525981  0.027087  0.381919        -0
  1  Ag    0.027087  0.381919  0.525981        -0
  2  Ag    0.381919  0.525981  0.027087        -0
  3  S     0.530804  0.530804  0.530804        -0
  4  I     0.998208  0.998208  0.998208         0",0.5390000000000001,GGA Static
mp-558189,Ag3SI,Ag3 S1 I1,"Full Formula (Ag3 S1 I1)
Reduced Formula: Ag3SI
abc   :   5.009586   5.009586   5.009586
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0.5  0.5  0          -0
  1  Ag    0.5  0    0.5        -0
  2  Ag    0    0.5  0.5        -0
  3  S     0.5  0.5  0.5        -0
  4  I     0    0    0          -0",0.6242999999999999,GGA Static
mp-632480,Ag3SI,Ag3 S1 I1,"Full Formula (Ag3 S1 I1)
Reduced Formula: Ag3SI
abc   :   4.892054   4.925178   5.120784
angles:  89.943577  89.403466  88.719190
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.97682   0.924257  0.069694        -0
  1  Ag    0.966898  0.427006  0.723156        -0
  2  Ag    0.539671  0.802641  0.493761        -0
  3  S     0.034169  0.925762  0.567133         0
  4  I     0.482443  0.386334  0.078256         0",0.16759999999999975,GGA Static
mp-673825,Ag3SI,Ag3 S1 I1,"Full Formula (Ag6 S2 I2)
Reduced Formula: Ag3SI
abc   :  10.151821   7.093534   7.010985
angles:  58.882603  43.459323  44.644305
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.066861  0.499084  0.00307          0
  1  Ag    0.051841  0.383993  0.493115         0
  2  Ag    0.543759  0.009374  0.497536         0
  3  Ag    0.576216  0.48956   0.004985         0
  4  Ag    0.435848  0.616121  0.495286         0
  5  Ag    0.93875   0.007667  0.492406         0
  6  S     0.234272  0.503876  0.503489        -0
  7  S     0.731463  0.51107   0.505291        -0
  8  I     0.008776  0.999714  0.997784         0
  9  I     0.509476  0.000554  0.997417         0",0.2569999999999997,GGA Static
mp-674981,Ag3SI,Ag3 S1 I1,"Full Formula (Ag3 S1 I1)
Reduced Formula: Ag3SI
abc   :   4.876098   5.020287   5.059903
angles:  87.619479  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a         b         c    magmom
---  ----  ---  --------  --------  --------
  0  Ag    0    0.515348  0.88506         -0
  1  Ag    0.5  0.996214  0.138166        -0
  2  Ag    0    0.110619  0.483941        -0
  3  S     0    0.001854  0.990907        -0
  4  I     0.5  0.506065  0.501926        -0",0.26239999999999997,GGA Static
mp-675879,Ag3SI,Ag3 S1 I1,"Full Formula (Ag6 S2 I2)
Reduced Formula: Ag3SI
abc   :   7.169073   4.912614   7.022945
angles:  89.337428  90.000000  90.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.736748  0.381348  0.490793        -0
  1  Ag    0.690951  0.516989  0.066298        -0
  2  Ag    0.190951  0.483011  0.933702        -0
  3  Ag    0.236748  0.618652  0.509207        -0
  4  Ag    0.576954  0.006029  0.823567        -0
  5  Ag    0.076954  0.993971  0.176433        -0
  6  S     0.50064   0.508656  0.754357        -0
  7  S     0.00064   0.491344  0.245643        -0
  8  I     0.994706  0.008946  0.730401        -0
  9  I     0.494706  0.991054  0.269599        -0",0.2850999999999999,GGA Static
mp-676121,Ag3SI,Ag3 S1 I1,"Full Formula (Ag6 S2 I2)
Reduced Formula: Ag3SI
abc   :   4.319690   4.732148  13.278674
angles:  89.657965  87.079483  89.887240
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.777606  0.448159  0.067256        -0
  1  Ag    0.603943  0.943973  0.174344         0
  2  Ag    0.931039  0.515986  0.640338         0
  3  Ag    0.510401  0.806232  0.908946        -0
  4  Ag    0.451152  0.976778  0.676063        -0
  5  Ag    0.904014  0.296477  0.85354         -0
  6  S     0.406232  0.48646   0.764913        -0
  7  S     0.960842  0.962016  0.005592        -0
  8  I     0.387208  0.446587  0.26522          0
  9  I     0.967561  0.017333  0.518788        -0",0.3738999999999999,GGA Static
mp-676561,Ag3SI,Ag3 S1 I1,"Full Formula (Ag3 S1 I1)
Reduced Formula: Ag3SI
abc   :   4.999040   4.999040   4.999041
angles:  91.007856  91.007856  91.007860
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.921966  0.078034  0.5             -0
  1  Ag    0.5       0.921966  0.078034        -0
  2  Ag    0.078034  0.5       0.921966        -0
  3  S     0         0         0               -0
  4  I     0.5       0.5       0.5             -0",0.3330000000000002,GGA Static
mp-1173025,Ag3SI,Ag3 S1 I1,"Full Formula (Ag6 S2 I2)
Reduced Formula: Ag3SI
abc   :   7.115598   7.032829   6.990995
angles:  60.979874  59.800331  59.219795
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.942018  0.942018  0.557983        -0
  1  Ag    0.450919  0.056245  0.943755        -0
  2  Ag    0.952386  0.952386  0.047614        -0
  3  Ag    0.442018  0.442018  0.057983        -0
  4  Ag    0.056245  0.450919  0.549081        -0
  5  Ag    0.554126  0.554126  0.445874        -0
  6  S     0.25718   0.758576  0.241424        -0
  7  S     0.758576  0.25718   0.74282         -0
  8  I     0.994992  0.496541  0.005008        -0
  9  I     0.496541  0.994992  0.503459        -0",0.3526875971307706,GGA Static
mp-558950,AgAsO3,Ag1 As1 O3,"Full Formula (Ag24 As24 O72)
Reduced Formula: AgAsO3
abc   :   6.755519  12.790828  20.006086
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (120)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.546128  0.632933  0.611936        -0
  1  Ag    0.00493   0.54929   0.053221         0
  2  Ag    0.103357  0.629182  0.865948         0
  3  Ag    0.501434  0.875163  0.939324        -0
  4  Ag    0.597266  0.210464  0.698215         0
  5  Ag    0.501434  0.375163  0.560676        -0
  6  Ag    0.546128  0.132933  0.888064         0
  7  Ag    0.402734  0.710464  0.301785         0
  8  Ag    0.935978  0.392527  0.189879        -0
  9  Ag    0.99507   0.04929   0.946779         0
 10  Ag    0.896643  0.629182  0.365948         0
 11  Ag    0.453872  0.632933  0.111936        -0
 12  Ag    0.597266  0.710464  0.801785         0
 13  Ag    0.402734  0.210464  0.198215         0
 14  Ag    0.896643  0.129182  0.134052         0
 15  Ag    0.935978  0.892527  0.310121        -0
 16  Ag    0.00493   0.04929   0.446779         0
 17  Ag    0.064022  0.892527  0.810121        -0
 18  Ag    0.064022  0.392527  0.689879        -0
 19  Ag    0.498566  0.875163  0.439324        -0
 20  Ag    0.103357  0.129182  0.634052         0
 21  Ag    0.498566  0.375163  0.060676        -0
 22  Ag    0.99507   0.54929   0.553221         0
 23  Ag    0.453872  0.132933  0.388064        -0
 24  As    0.207192  0.382404  0.375345        -0
 25  As    0.207192  0.882404  0.124655        -0
 26  As    0.456636  0.459454  0.245026        -0
 27  As    0.707241  0.880907  0.123961        -0
 28  As    0.034297  0.80172   0.494198         0
 29  As    0.456636  0.959454  0.254974        -0
 30  As    0.792808  0.882404  0.624655        -0
 31  As    0.965703  0.30172   0.505802         0
 32  As    0.792808  0.382404  0.875345        -0
 33  As    0.292759  0.880907  0.623961        -0
 34  As    0.965703  0.80172   0.994198         0
 35  As    0.048536  0.694592  0.695873        -0
 36  As    0.540511  0.568952  0.946208        -0
 37  As    0.048536  0.194592  0.804127        -0
 38  As    0.292759  0.380907  0.876039        -0
 39  As    0.707241  0.380907  0.376039        -0
 40  As    0.459489  0.568952  0.446208        -0
 41  As    0.034297  0.30172   0.005802         0
 42  As    0.459489  0.068952  0.053792        -0
 43  As    0.951464  0.694592  0.195873        -0
 44  As    0.540511  0.068952  0.553792        -0
 45  As    0.951464  0.194592  0.304127        -0
 46  As    0.543364  0.959454  0.754974         0
 47  As    0.543364  0.459454  0.745026        -0
 48  O     0.130953  0.241566  0.36195          0
 49  O     0.544324  0.829422  0.609174        -0
 50  O     0.020828  0.718015  0.276885         0
 51  O     0.833206  0.367726  0.968453         0
 52  O     0.042261  0.433363  0.860154        -0
 53  O     0.250457  0.896188  0.218046         0
 54  O     0.869047  0.741566  0.63805          0
 55  O     0.542735  0.879879  0.316972         0
 56  O     0.105383  0.376218  0.072609         0
 57  O     0.776144  0.790432  0.05432          0
 58  O     0.09822   0.571442  0.670361        -0
 59  O     0.364346  0.475925  0.808342         0
 60  O     0.957739  0.433363  0.360154        -0
 61  O     0.833206  0.867726  0.531547         0
 62  O     0.718918  0.521911  0.888797         0
 63  O     0.508389  0.691308  0.41845          0
 64  O     0.042261  0.933363  0.639846        -0
 65  O     0.975807  0.176541  0.025329        -0
 66  O     0.166794  0.867726  0.031547        -0
 67  O     0.677128  0.491331  0.437833        -0
 68  O     0.894617  0.876218  0.927391         0
 69  O     0.677128  0.991331  0.062167        -0
 70  O     0.024193  0.676541  0.974671        -0
 71  O     0.90178   0.071442  0.329639        -0
 72  O     0.322872  0.991331  0.562167        -0
 73  O     0.223856  0.790432  0.55432          0
 74  O     0.606841  0.082066  0.779187        -0
 75  O     0.606841  0.582066  0.720813         0
 76  O     0.508389  0.191308  0.08155          0
 77  O     0.90178   0.571442  0.170361        -0
 78  O     0.455676  0.329422  0.390826         0
 79  O     0.735043  0.771659  0.185443        -0
 80  O     0.455676  0.829422  0.109174        -0
 81  O     0.491611  0.191308  0.58155          0
 82  O     0.264957  0.771659  0.685443        -0
 83  O     0.979172  0.218015  0.723115         0
 84  O     0.390092  0.54882   0.527419         0
 85  O     0.718918  0.021911  0.611203         0
 86  O     0.390092  0.04882   0.972581         0
 87  O     0.609908  0.54882   0.027419         0
 88  O     0.130953  0.741566  0.13805          0
 89  O     0.393159  0.582066  0.220813         0
 90  O     0.749543  0.896188  0.718046         0
 91  O     0.957739  0.933363  0.139846        -0
 92  O     0.09822   0.071442  0.829639        -0
 93  O     0.024193  0.176541  0.525329         0
 94  O     0.364346  0.975925  0.691658         0
 95  O     0.542735  0.379879  0.183028         0
 96  O     0.975807  0.676541  0.474671        -0
 97  O     0.544324  0.329422  0.890826         0
 98  O     0.281082  0.021911  0.111203         0
 99  O     0.635654  0.475925  0.308342        -0
100  O     0.457265  0.879879  0.816972         0
101  O     0.609908  0.04882   0.472581         0
102  O     0.979172  0.718015  0.776885         0
103  O     0.020828  0.218015  0.223115         0
104  O     0.250457  0.396188  0.281954         0
105  O     0.457265  0.379879  0.683028         0
106  O     0.281082  0.521911  0.388797         0
107  O     0.749543  0.396188  0.781954         0
108  O     0.635654  0.975925  0.191658         0
109  O     0.491611  0.691308  0.91845          0
110  O     0.869047  0.241566  0.86195          0
111  O     0.166794  0.367726  0.468453        -0
112  O     0.223856  0.290432  0.94568          0
113  O     0.776144  0.290432  0.44568          0
114  O     0.322872  0.491331  0.937833        -0
115  O     0.393159  0.082066  0.279187         0
116  O     0.264957  0.271659  0.814557        -0
117  O     0.894617  0.376218  0.572609         0
118  O     0.735043  0.271659  0.314557        -0
119  O     0.105383  0.876218  0.427391         0",0.49849999999999994,GGA Static
mp-775767,AgAsO3,Ag1 As1 O3,"Full Formula (Ag4 As4 O12)
Reduced Formula: AgAsO3
abc   :   7.778961   7.778961   5.158003
angles:  81.149458  81.149458  88.232982
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.226339  0.773661  0.75            -0
  1  Ag    0.596159  0.403841  0.75            -0
  2  Ag    0.403841  0.596159  0.25            -0
  3  Ag    0.773661  0.226339  0.25            -0
  4  As    0.700686  0.878007  0.770579        -0
  5  As    0.878007  0.700686  0.270579        -0
  6  As    0.121993  0.299314  0.729421        -0
  7  As    0.299314  0.121993  0.229421        -0
  8  O     0.889124  0.804096  0.558574         0
  9  O     0.804096  0.889124  0.058574         0
 10  O     0.545618  0.7241    0.826899         0
 11  O     0.915218  0.348562  0.842436         0
 12  O     0.7241    0.545618  0.326899         0
 13  O     0.348562  0.915218  0.342436         0
 14  O     0.651438  0.084782  0.657564         0
 15  O     0.2759    0.454382  0.673101         0
 16  O     0.084782  0.651438  0.157564         0
 17  O     0.454382  0.2759    0.173101         0
 18  O     0.195904  0.110876  0.941426         0
 19  O     0.110876  0.195904  0.441426         0",0.5616999999999999,GGA Static
mp-1178563,AgAsO3,Ag1 As1 O3,"Full Formula (Ag2 As2 O6)
Reduced Formula: AgAsO3
abc   :   6.389075   6.389075   6.389076
angles:  45.134527  45.134527  45.134514
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ag    0.144867  0.144867  0.144867
  1  Ag    0.855133  0.855133  0.855133
  2  As    0.335397  0.335397  0.335397
  3  As    0.664603  0.664603  0.664603
  4  O     0.678387  0.057052  0.445832
  5  O     0.942948  0.554168  0.321613
  6  O     0.554168  0.321613  0.942948
  7  O     0.445832  0.678387  0.057052
  8  O     0.057052  0.445832  0.678387
  9  O     0.321613  0.942948  0.554168",0.2921,GGA Static
mp-752678,AgAuO3,Ag1 Au1 O3,"Full Formula (Ag4 Au4 O12)
Reduced Formula: AgAuO3
abc   :   6.423520   6.423520   7.539733
angles:  90.000000  90.000000 108.919031
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.638093  0.361907  0.25            -0
  1  Ag    0.999503  0.000497  0.75            -0
  2  Ag    0.361907  0.638093  0.75            -0
  3  Ag    0.000497  0.999503  0.25            -0
  4  Au    0.5       0         0                0
  5  Au    0.5       0         0.5              0
  6  Au    0         0.5       0                0
  7  Au    0         0.5       0.5              0
  8  O     0.476943  0.186009  0.75             0
  9  O     0.186009  0.476943  0.25             0
 10  O     0.267979  0.307028  0.25            -0
 11  O     0.307028  0.267979  0.75            -0
 12  O     0.838988  0.161012  0.018784         0
 13  O     0.838988  0.161012  0.481216         0
 14  O     0.161012  0.838988  0.518784         0
 15  O     0.161012  0.838988  0.981216         0
 16  O     0.732021  0.692972  0.75            -0
 17  O     0.692972  0.732021  0.25            -0
 18  O     0.523057  0.813991  0.25             0
 19  O     0.813991  0.523057  0.75             0",0.0,GGA Static
mp-776165,AgAuO3,Ag1 Au1 O3,"Full Formula (Ag4 Au4 O12)
Reduced Formula: AgAuO3
abc   :   7.285926   7.285926   7.285926
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.125     0.125     0.125           -0
  1  Ag    0.625     0.125     0.125           -0
  2  Ag    0.125     0.625     0.125           -0
  3  Ag    0.125     0.125     0.625           -0
  4  Au    0.625     0.625     0.125            0
  5  Au    0.625     0.625     0.625            0
  6  Au    0.625     0.125     0.625            0
  7  Au    0.125     0.625     0.625            0
  8  O     0.966287  0.533713  0.533713         0
  9  O     0.716287  0.716287  0.283713         0
 10  O     0.716287  0.283713  0.283713         0
 11  O     0.966287  0.533713  0.966287         0
 12  O     0.533713  0.966287  0.533713         0
 13  O     0.966287  0.966287  0.533713         0
 14  O     0.716287  0.283713  0.716287         0
 15  O     0.283713  0.716287  0.283713         0
 16  O     0.283713  0.283713  0.716287         0
 17  O     0.533713  0.966287  0.966287         0
 18  O     0.533713  0.533713  0.966287         0
 19  O     0.283713  0.716287  0.716287         0",0.24230000000000018,GGA Static
mp-780275,AgBO3,Ag1 B1 O3,"Full Formula (Ag2 B2 O6)
Reduced Formula: AgBO3
abc   :   6.001194   6.001194   6.001195
angles:  48.159219  48.159219  48.159224
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0         0         0                0
  1  Ag    0.5       0.5       0.5              0
  2  B     0.25      0.25      0.25             0
  3  B     0.75      0.75      0.75             0
  4  O     0.967582  0.25      0.532418        -0
  5  O     0.467582  0.032418  0.75            -0
  6  O     0.75      0.467582  0.032418        -0
  7  O     0.25      0.532418  0.967582        -0
  8  O     0.532418  0.967582  0.25            -0
  9  O     0.032418  0.75      0.467582        -0",0.0,GGA Static
mp-985292,AgBO3,Ag1 B1 O3,"Full Formula (Ag1 B1 O3)
Reduced Formula: AgBO3
abc   :   3.483287   3.483287   3.483287
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0    0    0       0.453
  1  B     0.5  0.5  0.5    -0.033
  2  O     0.5  0.5  0       0.474
  3  O     0.5  0    0.5     0.474
  4  O     0    0.5  0.5     0.474",0.0,GGA Static
mp-23548,AgBiO3,Ag1 Bi1 O3,"Full Formula (Ag2 Bi2 O6)
Reduced Formula: AgBiO3
abc   :   6.303216   6.303216   6.303216
angles:  54.560535  54.560535  54.560532
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.13161   0.13161   0.13161         -0
  1  Ag    0.86839   0.86839   0.86839         -0
  2  Bi    0.341992  0.341992  0.341992        -0
  3  Bi    0.658008  0.658008  0.658008        -0
  4  O     0.458114  0.708265  0.060033         0
  5  O     0.541886  0.291735  0.939967         0
  6  O     0.291735  0.939967  0.541886         0
  7  O     0.939967  0.541886  0.291735         0
  8  O     0.060033  0.458114  0.708265         0
  9  O     0.708265  0.060033  0.458114         0",0.0,GGA Static
